Post_text,success
"['widzieć', 'specjalny', 'wyposażyć', 'polo', 'trendline', 'edition', 'który', 'dostępny', 'wiek', 'system', 'zdanie', 'pomocny', 'podczas', 'jazda', 'samochód']",12.0
"['e', 'bugster', 'owy', 'galeria', 'specjalnie', 'poczuć', 'moc', 'niesamowity', 'beetle']",18.25
"['jakiś', 'czas', 'pokazywać', 'volkswagena', 'tona', 'wiek', 'wersja', 'lega', 'coś', 'równia', 'fajny', 'volkswagen', 'bus', 'składanie']",10.0
"['pamiętać', 'jeszcze', 'volkswagena', 'spółka', 'a', 'móc', 'wśród', 'posiadacz', 'model']",23.375
"['cza', 'wiedzieć', 'styczeń', 'rok', 'opatentować', 'klocki', 'lega', 'możny', 'uznać', 'datę', 'jaka', 'symboliczny', 'urodziny', 'życzyć', 'cały', 'marzec', 'lega', 'najlepszy', 'przecież', 'dzieciństwo', 'móc', 'mieć', 'jakiś', 'zdjęcie', 'swoje', 'budowla']",9.625
"['tegoroczny', 'innowacyjny', 'system', 'wyprzedaż', 'zdecydować', 'kusy', 'a', 'korzystny', 'model', 'finansować', 'wcale', 'ułatwiać', 'sprawa', 'wiek', 'który', 'model', 'celować']",15.5
"['ciekawy', 'cza', 'wiedzieć', 'który', 'pojazd', 'wiek', 'przypadek', 'zaparkować', 'prawidłowo']",64.375
"['stoczyć', 'kiedyś', 'walka', 'ojciec', 'miejsce', 'parkingowy', 'pewno', 'spodobać', 'siebie', 'spot', 'ród', 'jaka', 'z', 'dziki', 'zachodu']",13.0
"['widzieć', 'car', 'tower', 'wiek', 'wolfsburgu', 'robić', 'wrazić']",33.0
"['nowy', 'spot', 'oda', 'vw', 'musieć', 'zobaczyć']",15.125
"['mieć', 'zima', 'również', 'wiek', 'moment', 'zdecydować', 'doceniać', 'system', 'który', 'ułatwiać', 'poruszać', 'siebie', 'przykład', 'śliski', 'powierzchnia', 'na_przykład', 'asr', 'swój', 'drogi', 'cza', 'wiedzieć', 'polegać', 'działać']",12.25
"['dobry', 'zakończyć', 'dzień', 'prawidłowy', 'kolejność', 'jazda', 'pojazd', 'obrazek']",56.625
"['diesel', 'cza', 'benzyna']",86.75
"['uwaga', 'wielki', 'miłość', 'alba', 'uwaga', 'sukces', 'finansowy', 'gwarantować', 'czyż', 'prosty', 'drogi', 'życie', 'były', 'właśnie', 'taka', 'oznakować', 'życzyć', 'udany', 'soboty']",13.375
"['a', 'teraz', 'wszystek', 'fan', 'karmann', 'ghia', 'klikać', 'lubić']",11.75
"['krzywy', 'kolano', 'swornegacie', 'kłopot', 'stanisławy', 'ćiućmanija', 'hultajewo', 'znać', 'jeszcze', 'ciekawy', 'nazwa', 'miejscowość', 'wiek', 'polsce']",76.0
"['tsi', 'kilometr', 'średnia', 'spalać', 'l', 'kilometr', 'emisja', 'gram', 'kilometr', 'rozpędzać', 'siebie', 'kilometr', 'h', 'wiek', 'sekunda', 'mowa', 'oczywiście', 'ojciec', 'nowy', 'polo', 'gti', 'wiedzieć', 'ił', 'wynosić', 'maksymalny', 'prędkość']",5.875
"['miłośnik', 'designerski', 'rozwiązanie', 'mieć', 'coś', 'specjalny', 'nowy', 'vw', 'wiek', 'wersja', 'take', 'up', 'pewno', 'spełnić', 'wymagać', 'banalny', 'przeciętny', 'indywidualista']",4.875
"['coś', 'wielbiciel', 'oryginalny', 'dodatek', 'no', 'i', 'oczywiście', 'volkswagena', 'bulla', 'tarczy', 'zegarek', 'strona', 'tona', 'a', 'metr', 'punkt', 'strona']",12.5
"['mały', 'zagadka', 'cza', 'wiedzieć', 'wiek', 'kraju', 'dozwolić', 'prędkość', 'jazda', 'wiek', 'godzina', 'mniejszy', 'nizać', 'wiek', 'polsce', 'przypominać', 'u', 'wynosić', 'kilometr', 'h']",10.5
"['piękny', 'pogoda', 'za', 'okno', 'stopień', 'wiek', 'cień', 'wszystek', 'wylegiwać', 'siebie', 'nad', 'wodą', 'znak', 'sprzeciw', 'przeciwko', 'zima', 'postanowić', 'trocha', 'pomarzyć', 'móc', 'porozmawiać', 'siebie', 'ojciec', 'wakacyjny', 'plan', 'hiszpania', 'grecja', 'polskie', 'mora', 'mieć', 'jakiś', 'plan']",13.0
"['oryginalny', 'akcesorium', 'volkswagena']",8.5
"['pytać', 'z', 'seria', 'podchwytliwy', 'światło', 'zapalić', 'siebie', 'żółty']",80.875
