,success,TheRuler,modern,modern,TheCreator,positive,traditional,new,TheInnocent,expensive,TheWizard,friendship,bad,names,basic,names,bargain,impractical,lustig,names,trust
TheWizard,0.12243081020706903,0.819064516954025,0.7340929041928662,0.7340929041928662,0.9238105799858656,0.6324855442022885,0.6157431897029132,0.6866670933971729,0.8498782608624519,0.5164007570977002,1.0,0.36736941264940703,0.6338295810149869,0.11414552809607353,0.1649166540603347,0.0048431343057388715,-0.36170236581469306,0.6314358230568018,0.42887865080660215,-0.035622819980145236,-0.5384378214472272
friendship,-0.004247192813320296,0.11656168369767005,0.07398142100627307,0.07398142100627307,0.3296174936501367,0.16390630939487813,0.08853978487107181,0.11732155914089501,0.5410722151880468,0.10754795526484297,0.36736941264940703,1.0,0.5157794973541022,0.21089188726495559,0.45476926850374494,-0.008994584920466309,-0.08707271704447644,0.4445000891698249,0.7115782863307721,0.36918090770750517,-0.5745705934764099
bad,-0.01132057929256723,0.4380939532123348,0.3163944890399805,0.3163944890399805,0.5308721177903045,0.558140477357735,0.2809389899051469,0.31264681396843474,0.7429276622700854,0.315383980218733,0.6338295810149869,0.5157794973541022,1.0,-0.00751446998142635,0.3973721623651066,-0.004494851940491265,-0.2898439339176882,0.797641303242975,0.537940367607557,-0.07552939293397905,-0.5898701414669199
names,-0.016160321549490774,-0.008431130087518645,-0.16344459484600796,-0.16344459484600796,0.09548502934547974,-0.296589627791763,0.004268079707225164,-0.0003037565236935469,-0.039933958747433954,-0.3353587594864728,0.11414552809607353,0.21089188726495559,-0.00751446998142635,1.0,0.06657894846698396,0.7377686017231905,-0.3151126197242957,-0.06391958298402844,0.22018484618411394,0.6384616374040774,0.2698718312030244
basic,-0.02055817395892433,-0.15193088425739437,0.015407769760500907,0.015407769760500907,0.12513569460357707,0.4466867753833011,0.2799476164187146,0.03456970501450491,0.379650587326939,0.18665955249324004,0.1649166540603347,0.45476926850374494,0.3973721623651066,0.06657894846698396,1.0,0.12952987204067254,0.02478904679332392,0.09312430146932663,0.41902297272970407,0.14085046354814462,-0.4120785616400514
names,-0.022099035184603634,-0.12819722560982158,-0.23007457994593314,-0.23007457994593314,-0.015433248091043086,-0.27141776922821154,0.11909216291491984,-0.02839913938902676,-0.11811875255845881,-0.25992281958802854,0.0048431343057388715,-0.008994584920466309,-0.004494851940491265,0.7377686017231905,0.12952987204067254,1.0,-0.18918057940292396,-0.11646394757886448,0.10241577075717632,0.31913729599576446,0.40495206005959206
bargain,-0.02324698220539247,-0.3461531056375365,-0.10069419321841135,-0.10069419321841135,-0.37157363612943295,-0.1731768946604563,-0.2736729796509694,-0.08001569854098342,-0.2868698886861213,-0.0021189928746574876,-0.36170236581469306,-0.08707271704447644,-0.2898439339176882,-0.3151126197242957,0.02478904679332392,-0.18918057940292396,1.0,-0.32596819137526867,-0.23501098124693262,-0.19450732448098668,0.02677180581729828
impractical,-0.026785970155087213,0.5134081844976276,0.4325677373920428,0.4325677373920428,0.572129921855195,0.3489914317682894,0.2817810646362321,0.3585554151903665,0.6600439304077325,0.23091542166256254,0.6314358230568018,0.4445000891698249,0.797641303242975,-0.06391958298402844,0.09312430146932663,-0.11646394757886448,-0.32596819137526867,1.0,0.6269094890332911,-0.06912230583551751,-0.5110918052884477
lustig,-0.028485528488886365,0.15151176895041446,0.2717716611066749,0.2717716611066749,0.500626580996021,0.20763649373017498,0.38842925686963264,0.15112212042978895,0.5938984353658807,0.089249295966767,0.42887865080660215,0.7115782863307721,0.537940367607557,0.22018484618411394,0.41902297272970407,0.10241577075717632,-0.23501098124693262,0.6269094890332911,1.0,0.3359988962837788,-0.4584854979531806
names,-0.04269565882053312,-0.17429452307647061,-0.19650428187847888,-0.19650428187847888,-0.04118849491941101,-0.35595224598457115,-0.17607508913331357,-0.11394255657154981,-0.06961725962876948,-0.3920492819558974,-0.035622819980145236,0.36918090770750517,-0.07552939293397905,0.6384616374040774,0.14085046354814462,0.31913729599576446,-0.19450732448098668,-0.06912230583551751,0.3359988962837788,1.0,-0.011797852435193346
trust,-0.05512832657067192,-0.35332718586016154,-0.44470905772049946,-0.44470905772049946,-0.4833803564370215,-0.5780650610401346,-0.2668384360860076,-0.29570778643610357,-0.6892856575868708,-0.4411151680400108,-0.5384378214472272,-0.5745705934764099,-0.5898701414669199,0.2698718312030244,-0.4120785616400514,0.40495206005959206,0.02677180581729828,-0.5110918052884477,-0.4584854979531806,-0.011797852435193346,1.0
