,success,female,male,untrustworthy,below,friendship,weapon,family,traditionell,above,dead,unsustainable,trust,descriptive,innovative,rachel,show,technical,science,aktiv,performance
dead,0.0762144681860852,0.4355812866793476,0.4801869446866329,0.7231825739084873,0.4716241883732861,0.3156326403145955,0.253391681509753,0.5214655829879868,0.687662626594256,0.6156217198135754,1.0,0.42582637697415615,-0.6194728015515828,0.1901231379432056,0.12636670514067483,0.12636670514067483,0.007784238578020413,0.1816931905265696,0.4021020048517746,0.3312457782042462,-0.306290042611186
unsustainable,-0.04487654275307377,0.018591891336291633,0.08700719552582953,0.2895499649637251,0.12268694883609975,-0.06055817298825043,-0.022973902653508044,0.2094369826585197,0.220750190588483,0.2778386517229405,0.42582637697415615,1.0,-0.3583259148410503,0.4639569357994259,0.5483733332876598,0.5483733332876598,0.06727646698290658,0.6459662581252296,0.7573873480007657,0.6666224695367589,-0.1710546176621946
trust,-0.047837757708551795,-0.6112972139256065,-0.6184131879056205,-0.7075523879711113,-0.5033026169846071,-0.5696240550768571,-0.26422200117072564,-0.6782328308719651,-0.5176621207604916,-0.6822069014085911,-0.6194728015515828,-0.3583259148410503,1.0,-0.062427709469012146,0.10536196045300958,0.10536196045300958,-0.19754904643805696,-0.06372268407486573,-0.28128782990439916,-0.49878130773181134,0.0729224889231813
descriptive,-0.05846973267449324,-0.24538223303161916,-0.18536399218355104,0.129038448139154,0.15546458410517097,-0.175918344606924,-0.02699522390426502,-0.13324457500087356,0.13037737518809067,0.06597950595060113,0.1901231379432056,0.4639569357994259,-0.062427709469012146,1.0,0.5080687759677458,0.5080687759677458,0.34512940024626354,0.5342929384778998,0.5351348611009572,0.36905053508090563,0.04980852078976953
innovative,-0.06132386517739848,-0.47459815404756467,-0.4147980397175573,-0.1902071598453459,-0.09480051434256795,-0.4996242204947786,-0.02141396785799774,-0.37878260494106664,-0.017557355363820887,-0.20378336805916597,0.12636670514067483,0.5483733332876598,0.10536196045300958,0.5080687759677458,1.0,1.0,-0.03861931207405978,0.8445661415238805,0.6449316577706724,0.4493544447189791,-0.14614350453072017
rachel,-0.06132386517739848,-0.47459815404756467,-0.4147980397175573,-0.1902071598453459,-0.09480051434256795,-0.4996242204947786,-0.02141396785799774,-0.37878260494106664,-0.017557355363820887,-0.20378336805916597,0.12636670514067483,0.5483733332876598,0.10536196045300958,0.5080687759677458,1.0,1.0,-0.03861931207405978,0.8445661415238805,0.6449316577706724,0.4493544447189791,-0.14614350453072017
show,-0.07249406636712123,0.34452936614649804,0.30823164793140806,0.06683626881462415,-0.2432804663850529,0.3872460001573722,-0.11011791316093186,0.3233284837485377,0.28700599774138774,-0.07565849861584849,0.007784238578020413,0.06727646698290658,-0.19754904643805696,0.34512940024626354,-0.03861931207405978,-0.03861931207405978,1.0,-0.09191831339640663,0.22823152874874564,0.4201248675339279,0.8446801274044681
technical,-0.07279891410436545,-0.4350464081449413,-0.3347816789230928,-0.042765427053012416,0.08135072794734272,-0.4416081924672995,0.18420040017280453,-0.29406298675447756,-0.05083937496589037,-0.023745113546722263,0.1816931905265696,0.6459662581252296,-0.06372268407486573,0.5342929384778998,0.8445661415238805,0.8445661415238805,-0.09191831339640663,1.0,0.7304800905765813,0.4400519178104844,-0.2483250935251333
science,-0.07430399415222382,-0.0017351962303095792,0.09008327603396496,0.20473901976509484,0.018246618487567746,-0.09549263981505368,0.09845212598678912,0.15082541970708863,0.18202816105467717,0.16162072347178583,0.4021020048517746,0.7573873480007657,-0.28128782990439916,0.5351348611009572,0.6449316577706724,0.6449316577706724,0.22823152874874564,0.7304800905765813,1.0,0.6682150360439719,0.05441098381053064
aktiv,-0.07639539174182605,0.27804496311902527,0.26797862773397113,0.27398789806498497,-0.008254817357243838,0.2710471283667702,-0.08381696596250195,0.4093285549754585,0.33075756202759343,0.1978783757278051,0.3312457782042462,0.6666224695367589,-0.49878130773181134,0.36905053508090563,0.4493544447189791,0.4493544447189791,0.4201248675339279,0.4400519178104844,0.6682150360439719,1.0,0.19433369623427518
performance,-0.1006133364795179,0.1548867965745616,0.1184965728052589,-0.21866061126436026,-0.4375149903564143,0.2482523321088842,-0.20267537120430176,0.09490552227732893,-0.02433873795831636,-0.2983298282312256,-0.306290042611186,-0.1710546176621946,0.0729224889231813,0.04980852078976953,-0.14614350453072017,-0.14614350453072017,0.8446801274044681,-0.2483250935251333,0.05441098381053064,0.19433369623427518,1.0
