,success,TheRuler,TheCreator,modern,modern,TheWizard,traditional,TheHero,TheExplorer,TheInnocent,trendy,impractical,bad,friendship,names,lustig,names,basic,bargain,names,trust
success,1.0,0.1620099987112622,0.14742748954085402,0.14090185517035875,0.14090185517035875,0.13993830593895315,0.13881273484203327,0.12873360575288678,0.12577166567615278,0.12414991347711686,0.12321945169840376,0.009245208608345074,0.008608095692277813,0.005369650418543189,-0.005006414561198803,-0.0075212732945551045,-0.01673430493375136,-0.022296641912615656,-0.027751121016333077,-0.04202429277813476,-0.05832785272720347
TheRuler,0.1620099987112622,1.0,0.7965915945516907,0.6029197990849328,0.6029197990849328,0.819064516954025,0.4303579695067997,0.7556515070663856,0.6674055058396647,0.6701583636875684,0.38920152701870336,0.5134081844976276,0.4380939532123348,0.11656168369767005,-0.008431130087518645,0.15151176895041446,-0.12819722560982158,-0.15193088425739437,-0.3461531056375365,-0.17429452307647061,-0.35332718586016154
TheCreator,0.14742748954085402,0.7965915945516907,1.0,0.7395907177254331,0.7395907177254331,0.9238105799858656,0.6935360605108354,0.8325323235634673,0.8599802462113576,0.8357746648491772,0.7083339416317013,0.572129921855195,0.5308721177903045,0.3296174936501367,0.09548502934547974,0.500626580996021,-0.015433248091043086,0.12513569460357707,-0.37157363612943295,-0.04118849491941101,-0.4833803564370215
modern,0.14090185517035875,0.6029197990849328,0.7395907177254331,1.0,1.0,0.7340929041928662,0.6769480192677818,0.5977325973765338,0.7258926445459498,0.6614066572883655,0.728337263284056,0.4325677373920428,0.3163944890399805,0.07398142100627307,-0.16344459484600796,0.2717716611066749,-0.23007457994593314,0.015407769760500907,-0.10069419321841135,-0.19650428187847888,-0.44470905772049946
modern,0.14090185517035875,0.6029197990849328,0.7395907177254331,1.0,1.0,0.7340929041928662,0.6769480192677818,0.5977325973765338,0.7258926445459498,0.6614066572883655,0.728337263284056,0.4325677373920428,0.3163944890399805,0.07398142100627307,-0.16344459484600796,0.2717716611066749,-0.23007457994593314,0.015407769760500907,-0.10069419321841135,-0.19650428187847888,-0.44470905772049946
TheWizard,0.13993830593895315,0.819064516954025,0.9238105799858656,0.7340929041928662,0.7340929041928662,1.0,0.6157431897029132,0.8398507766467925,0.8813155902567313,0.8498782608624519,0.6424280452191816,0.6314358230568018,0.6338295810149869,0.36736941264940703,0.11414552809607353,0.42887865080660215,0.0048431343057388715,0.1649166540603347,-0.36170236581469306,-0.035622819980145236,-0.5384378214472272
traditional,0.13881273484203327,0.4303579695067997,0.6935360605108354,0.6769480192677818,0.6769480192677818,0.6157431897029132,1.0,0.4045814177296879,0.5820865016034535,0.5992497915026482,0.8039710272984655,0.2817810646362321,0.2809389899051469,0.08853978487107181,0.004268079707225164,0.38842925686963264,0.11909216291491984,0.2799476164187146,-0.2736729796509694,-0.17607508913331357,-0.2668384360860076
TheHero,0.12873360575288678,0.7556515070663856,0.8325323235634673,0.5977325973765338,0.5977325973765338,0.8398507766467925,0.4045814177296879,1.0,0.8368796948162982,0.8041218856831,0.5634709496084527,0.6375988820833807,0.5764386952465981,0.5243808504468264,0.13467381616362292,0.5536321736627637,-0.1045800435998241,0.14258620647045875,-0.26411409980140155,0.18820327324448288,-0.5711149047698834
TheExplorer,0.12577166567615278,0.6674055058396647,0.8599802462113576,0.7258926445459498,0.7258926445459498,0.8813155902567313,0.5820865016034535,0.8368796948162982,1.0,0.8776184721127216,0.7142314946541098,0.601048673167854,0.5864856372119098,0.5469806418509969,-0.018055965784708104,0.524189801287095,-0.1353861729127531,0.24901748930127865,-0.19513839490714238,-0.059018285194089255,-0.6133336405157445
TheInnocent,0.12414991347711686,0.6701583636875684,0.8357746648491772,0.6614066572883655,0.6614066572883655,0.8498782608624519,0.5992497915026482,0.8041218856831,0.8776184721127216,1.0,0.6867158935026139,0.6600439304077325,0.7429276622700854,0.5410722151880468,-0.039933958747433954,0.5938984353658807,-0.11811875255845881,0.379650587326939,-0.2868698886861213,-0.06961725962876948,-0.6892856575868708
trendy,0.12321945169840376,0.38920152701870336,0.7083339416317013,0.728337263284056,0.728337263284056,0.6424280452191816,0.8039710272984655,0.5634709496084527,0.7142314946541098,0.6867158935026139,1.0,0.3218227525736878,0.34470159349342117,0.3010033501849473,0.039764238387775507,0.5230921771387171,0.038653817489342324,0.3266221224101116,-0.05045211550650447,-0.07160695623852963,-0.3646659942671655
impractical,0.009245208608345074,0.5134081844976276,0.572129921855195,0.4325677373920428,0.4325677373920428,0.6314358230568018,0.2817810646362321,0.6375988820833807,0.601048673167854,0.6600439304077325,0.3218227525736878,1.0,0.797641303242975,0.4445000891698249,-0.06391958298402844,0.6269094890332911,-0.11646394757886448,0.09312430146932663,-0.32596819137526867,-0.06912230583551751,-0.5110918052884477
bad,0.008608095692277813,0.4380939532123348,0.5308721177903045,0.3163944890399805,0.3163944890399805,0.6338295810149869,0.2809389899051469,0.5764386952465981,0.5864856372119098,0.7429276622700854,0.34470159349342117,0.797641303242975,1.0,0.5157794973541022,-0.00751446998142635,0.537940367607557,-0.004494851940491265,0.3973721623651066,-0.2898439339176882,-0.07552939293397905,-0.5898701414669199
friendship,0.005369650418543189,0.11656168369767005,0.3296174936501367,0.07398142100627307,0.07398142100627307,0.36736941264940703,0.08853978487107181,0.5243808504468264,0.5469806418509969,0.5410722151880468,0.3010033501849473,0.4445000891698249,0.5157794973541022,1.0,0.21089188726495559,0.7115782863307721,-0.008994584920466309,0.45476926850374494,-0.08707271704447644,0.36918090770750517,-0.5745705934764099
names,-0.005006414561198803,-0.008431130087518645,0.09548502934547974,-0.16344459484600796,-0.16344459484600796,0.11414552809607353,0.004268079707225164,0.13467381616362292,-0.018055965784708104,-0.039933958747433954,0.039764238387775507,-0.06391958298402844,-0.00751446998142635,0.21089188726495559,1.0,0.22018484618411394,0.7377686017231905,0.06657894846698396,-0.3151126197242957,0.6384616374040774,0.2698718312030244
lustig,-0.0075212732945551045,0.15151176895041446,0.500626580996021,0.2717716611066749,0.2717716611066749,0.42887865080660215,0.38842925686963264,0.5536321736627637,0.524189801287095,0.5938984353658807,0.5230921771387171,0.6269094890332911,0.537940367607557,0.7115782863307721,0.22018484618411394,1.0,0.10241577075717632,0.41902297272970407,-0.23501098124693262,0.3359988962837788,-0.4584854979531806
names,-0.01673430493375136,-0.12819722560982158,-0.015433248091043086,-0.23007457994593314,-0.23007457994593314,0.0048431343057388715,0.11909216291491984,-0.1045800435998241,-0.1353861729127531,-0.11811875255845881,0.038653817489342324,-0.11646394757886448,-0.004494851940491265,-0.008994584920466309,0.7377686017231905,0.10241577075717632,1.0,0.12952987204067254,-0.18918057940292396,0.31913729599576446,0.40495206005959206
basic,-0.022296641912615656,-0.15193088425739437,0.12513569460357707,0.015407769760500907,0.015407769760500907,0.1649166540603347,0.2799476164187146,0.14258620647045875,0.24901748930127865,0.379650587326939,0.3266221224101116,0.09312430146932663,0.3973721623651066,0.45476926850374494,0.06657894846698396,0.41902297272970407,0.12952987204067254,1.0,0.02478904679332392,0.14085046354814462,-0.4120785616400514
bargain,-0.027751121016333077,-0.3461531056375365,-0.37157363612943295,-0.10069419321841135,-0.10069419321841135,-0.36170236581469306,-0.2736729796509694,-0.26411409980140155,-0.19513839490714238,-0.2868698886861213,-0.05045211550650447,-0.32596819137526867,-0.2898439339176882,-0.08707271704447644,-0.3151126197242957,-0.23501098124693262,-0.18918057940292396,0.02478904679332392,1.0,-0.19450732448098668,0.02677180581729828
names,-0.04202429277813476,-0.17429452307647061,-0.04118849491941101,-0.19650428187847888,-0.19650428187847888,-0.035622819980145236,-0.17607508913331357,0.18820327324448288,-0.059018285194089255,-0.06961725962876948,-0.07160695623852963,-0.06912230583551751,-0.07552939293397905,0.36918090770750517,0.6384616374040774,0.3359988962837788,0.31913729599576446,0.14085046354814462,-0.19450732448098668,1.0,-0.011797852435193346
trust,-0.05832785272720347,-0.35332718586016154,-0.4833803564370215,-0.44470905772049946,-0.44470905772049946,-0.5384378214472272,-0.2668384360860076,-0.5711149047698834,-0.6133336405157445,-0.6892856575868708,-0.3646659942671655,-0.5110918052884477,-0.5898701414669199,-0.5745705934764099,0.2698718312030244,-0.4584854979531806,0.40495206005959206,-0.4120785616400514,0.02677180581729828,-0.011797852435193346,1.0
