,success,more healthy_positive associations,more untrustworthy associations,more unwirksam associations,more impractical associations,more dead associations,more above associations,more below associations,more ugly associations,more bad associations,more bargain associations,more sympathisch associations,more bad associations,more appetitlich associations,more new associations,more african_names associations,more trust associations,more blue_collar associations,more african_names associations,more trust associations
more bargain associations,-0.06056302329302038,-0.0651527254944245,-0.20018447166247189,-0.15879228786648522,-0.11387218758969656,-0.16495673236932584,-0.15369583365230682,-0.1686187246062263,-0.13528043922738667,-0.18973972305752018,1.0,0.15274559820471778,-0.17014357613894068,0.20917136154577337,0.10489334291492246,0.14914498450989816,0.02190558782082932,0.17277135834919768,-0.21105979625458277,0.2249788581377354
more sympathisch associations,-0.06120345347503896,0.21873166610900457,0.09452638745168325,0.15860494850563225,0.15640747671882801,0.0891362839646819,0.14004032154224186,0.10998060757767848,0.13895487282686755,0.14829558558521708,0.15274559820471778,1.0,0.20787755973504723,0.7873943830878481,0.0353388571774512,0.12926474318948833,-0.04172799248902054,0.1473463019896717,-0.21452149789843641,0.09512836583713495
more bad associations,-0.06314477542605337,0.25759440588824545,0.24507825434837535,0.2576932390798028,0.2704466393224444,0.2811320272762473,0.219281194841774,0.27749988216434257,0.22537738446705594,0.13956006146835853,-0.17014357613894068,0.20787755973504723,1.0,0.09759080416145398,-0.10815653403252011,-0.16017217738610962,-0.013049259875889974,-0.11444404004197506,0.08987266862552785,-0.10560575713169021
more appetitlich associations,-0.06500948377831835,0.1831816361291826,0.0595746395977883,0.10468515217683799,0.11285590258332319,0.08974936930232053,0.0839618975288833,0.09741236808596147,0.09686818898028049,0.09097364080976324,0.20917136154577337,0.7873943830878481,0.09759080416145398,1.0,0.09168042590178678,0.14323083169538497,-0.02114970543075589,0.1501408906695009,-0.2270251563307286,0.1270825499217791
more new associations,-0.0662647700836567,-0.12448923168663897,-0.1933015876950515,-0.1318242358772921,-0.10146632505662147,-0.09440135561924237,-0.17410192507653988,-0.08964452372710904,-0.18955265963655615,-0.16405000661915345,0.10489334291492246,0.0353388571774512,-0.10815653403252011,0.09168042590178678,1.0,0.14236550430733189,0.08750984914674864,0.1270437892414658,0.04318756514252417,0.1991357349885958
more african_names associations,-0.07125109630171628,0.0019925914573147487,-0.24920386499636993,-0.2810411635430623,-0.19830163334231513,-0.21595838548415378,-0.268218816064008,-0.243892907776086,-0.2873831537521047,-0.2114709268735111,0.14914498450989816,0.12926474318948833,-0.16017217738610962,0.14323083169538497,0.14236550430733189,1.0,0.2553444952935293,0.15571679858201584,0.2271439970441175,0.41985210949670104
more trust associations,-0.07486002195657762,-0.0658494631229053,-0.22989583438316016,-0.24356437661776464,-0.18342392855701517,-0.20032345666292964,-0.23399176493432305,-0.16975284005021768,-0.2728007990088129,-0.19811865044797883,0.02190558782082932,-0.04172799248902054,-0.013049259875889974,-0.02114970543075589,0.08750984914674864,0.2553444952935293,1.0,-0.05492745159239002,0.1671458553694192,0.7996802420335224
more blue_collar associations,-0.07705082239333133,-0.0916243875066418,-0.14966573655471707,0.016708517460396217,0.026141445078877792,-0.06151173578637515,-0.03236728429087225,-0.07553041585056772,-0.07278747660562887,-0.035820359383748696,0.17277135834919768,0.1473463019896717,-0.11444404004197506,0.1501408906695009,0.1270437892414658,0.15571679858201584,-0.05492745159239002,1.0,-0.1728168482286924,0.11911175158664361
more african_names associations,-0.08116568573108401,-0.2578092848881159,-0.20972957280929005,-0.26753051526631205,-0.16623560872062398,-0.19726650322652767,-0.2632051793775013,-0.2650571328751974,-0.20824511500468523,-0.15844445164422627,-0.21105979625458277,-0.21452149789843641,0.08987266862552785,-0.2270251563307286,0.04318756514252417,0.2271439970441175,0.1671458553694192,-0.1728168482286924,1.0,0.10130124765937308
more trust associations,-0.10907581612521697,-0.08666070886636337,-0.32912276917823835,-0.3160668653737026,-0.22099205326770346,-0.2542351425889256,-0.2913660570481523,-0.22116483410355475,-0.359026441263859,-0.2812196912847039,0.2249788581377354,0.09512836583713495,-0.10560575713169021,0.1270825499217791,0.1991357349885958,0.41985210949670104,0.7996802420335224,0.11911175158664361,0.10130124765937308,1.0
