,success,ower,utside,nside,echnical,ustainable,xpensive,rachel,nnovative,ustainable,nsustainable,rust,emale,instrument,ustig,riendship,erformance,names,names,names,names
success,1.0,0.13358760746452314,0.12740209827534185,0.11346580747571583,0.11110277686030644,0.10847888837047036,0.10813425922297412,0.10686008593213414,0.10686008593213414,0.106857043377502,0.10255425642941217,-0.02867112720631173,-0.029182130115251774,-0.031833904200368156,-0.03394635789276042,-0.034273117145606075,-0.03757811261919533,-0.04012218462764293,-0.05749509474893429,-0.06741949834132223,-0.07009327167226999
ower,0.13358760746452314,1.0,0.6945245508175029,0.6770514623218283,0.5206771286558779,0.6370122880632095,0.40542725566150234,0.4441648775037394,0.4441648775037394,0.6576969801871688,0.6839004938715786,-0.32736364409020724,0.0759737344775929,-0.09078204486856037,-0.041968450849661235,-0.0773202922288876,-0.3153142281299916,-0.2742292114087617,-0.16213946245007874,-0.3555002809553628,-0.3825758635343283
utside,0.12740209827534185,0.6945245508175029,1.0,0.8985176559591193,0.6337521893406072,0.7212569614250735,0.6011486975237511,0.4602970823798791,0.4602970823798791,0.7263534204072469,0.6035452676247142,-0.3921604634682168,-0.08459269738589882,-0.1359036775961832,-0.13140637515587178,-0.1589566842352236,-0.46489200279943244,-0.4820934239533303,-0.3660646184453981,-0.4596916067594716,-0.5696639820270966
nside,0.11346580747571583,0.6770514623218283,0.8985176559591193,1.0,0.5711114883879356,0.7373277084064566,0.5924320953101762,0.40230449139223534,0.40230449139223534,0.7591783484837341,0.6108717968248417,-0.5128158322458332,0.01623982206303916,-0.12296056696001308,-0.050666275612661786,-0.05526197041257827,-0.4593845815169923,-0.4865137650944191,-0.43390910125937276,-0.39500562808597445,-0.5402872213240262
echnical,0.11110277686030644,0.5206771286558779,0.6337521893406072,0.5711114883879356,1.0,0.6635443034979195,0.4615536550641948,0.8436641182727644,0.8436641182727644,0.6400054611966772,0.5877680796098466,-0.1805116323421807,-0.30721347486694367,0.029770107754987684,-0.092521783482649,-0.3205117246517636,-0.31874407848422803,-0.39134030500030764,-0.2973488473580773,-0.3558247917441915,-0.45767516813712705
ustainable,0.10847888837047036,0.6370122880632095,0.7212569614250735,0.7373277084064566,0.6635443034979195,1.0,0.6940496540297233,0.578516379102242,0.578516379102242,0.9776207279122798,0.7677182694723079,-0.5811306001331955,0.16874882793604265,-0.00891499944361437,0.2420991479125451,0.10523744617074465,-0.29163568211209157,-0.4310302358949216,-0.3778077749395822,-0.2597511076491647,-0.4184555583954227
xpensive,0.10813425922297412,0.40542725566150234,0.6011486975237511,0.5924320953101762,0.4615536550641948,0.6940496540297233,1.0,0.38698098142569715,0.38698098142569715,0.6824606195817253,0.4398605157325416,-0.5073986574353693,0.15113443005368243,-0.033271656383464805,0.17644338082899608,0.15680006686932926,-0.18161342263239033,-0.36611933068532726,-0.3392134754007551,-0.32532752726252717,-0.38402359371611045
rachel,0.10686008593213414,0.4441648775037394,0.4602970823798791,0.40230449139223534,0.8436641182727644,0.578516379102242,0.38698098142569715,1.0,1.0,0.5466096780226081,0.608057934526095,-0.033602342033606666,-0.32477345188220663,-0.003602289617403961,-0.08798357552216371,-0.3461355549841661,-0.2326116191720882,-0.22181216848506136,-0.12329026043253073,-0.33884270824348095,-0.2916022086820714
nnovative,0.10686008593213414,0.4441648775037394,0.4602970823798791,0.40230449139223534,0.8436641182727644,0.578516379102242,0.38698098142569715,1.0,1.0,0.5466096780226081,0.608057934526095,-0.033602342033606666,-0.32477345188220663,-0.003602289617403961,-0.08798357552216371,-0.3461355549841661,-0.2326116191720882,-0.22181216848506136,-0.12329026043253073,-0.33884270824348095,-0.2916022086820714
ustainable,0.106857043377502,0.6576969801871688,0.7263534204072469,0.7591783484837341,0.6400054611966772,0.9776207279122798,0.6824606195817253,0.5466096780226081,0.5466096780226081,1.0,0.7835613324058907,-0.6087147536701436,0.18934545610975673,-0.09461657288015023,0.22627239687664205,0.10048290313544368,-0.3409260899991734,-0.46100391653163336,-0.410487246578956,-0.28945478044800654,-0.4597743380544569
nsustainable,0.10255425642941217,0.6839004938715786,0.6035452676247142,0.6108717968248417,0.5877680796098466,0.7677182694723079,0.4398605157325416,0.608057934526095,0.608057934526095,0.7835613324058907,1.0,-0.31741623722523077,-0.007382217465675885,-0.18242588496734843,-0.020573238489314912,-0.169578833394894,-0.2416177153296076,-0.24775932230506667,-0.22673831661467514,-0.21393817235141746,-0.28584768340288436
rust,-0.02867112720631173,-0.32736364409020724,-0.3921604634682168,-0.5128158322458332,-0.1805116323421807,-0.5811306001331955,-0.5073986574353693,-0.033602342033606666,-0.033602342033606666,-0.6087147536701436,-0.31741623722523077,1.0,-0.5686230189346447,-0.11678984248479976,-0.5263116027001166,-0.562289552052561,0.11375446284183897,0.371865674528102,0.4169710029158025,-0.08899505443408404,0.21886665917545922
emale,-0.029182130115251774,0.0759737344775929,-0.08459269738589882,0.01623982206303916,-0.30721347486694367,0.16874882793604265,0.15113443005368243,-0.32477345188220663,-0.32477345188220663,0.18934545610975673,-0.007382217465675885,-0.5686230189346447,1.0,0.2577203419587526,0.6225712326623031,0.8107685561673121,0.1539184561968739,0.2060438749355324,0.14191673618519962,0.34589593657868717,0.3160872960003942
instrument,-0.031833904200368156,-0.09078204486856037,-0.1359036775961832,-0.12296056696001308,0.029770107754987684,-0.00891499944361437,-0.033271656383464805,-0.003602289617403961,-0.003602289617403961,-0.09461657288015023,-0.18242588496734843,-0.11678984248479976,0.2577203419587526,1.0,0.34786117103910297,0.3049579527683363,0.373431642315349,0.284736816214131,0.2592531730422435,0.41629026578160516,0.38501592252385197
ustig,-0.03394635789276042,-0.041968450849661235,-0.13140637515587178,-0.050666275612661786,-0.092521783482649,0.2420991479125451,0.17644338082899608,-0.08798357552216371,-0.08798357552216371,0.22627239687664205,-0.020573238489314912,-0.5263116027001166,0.6225712326623031,0.34786117103910297,1.0,0.6889807851246263,0.28756443391399206,0.04346199077503306,0.006979274287080407,0.2519397811018843,0.1435681167865477
